s,wkt
findspot:Le_Rozier,POINT (3.216667 44.18333)
findspot:Lehen,POINT (7.8 48.016667)
findspot:Les_Allieux,POINT (5.06667 49.2)
findspot:Lezoux,POINT (3.383333 45.833333)
findspot:Lincoln,POINT (-0.533333302 53.23333359)
findspot:Little_Chester,POINT (-1.471779108 52.93341446)
findspot:London,POINT (-0.116667 51.5)
findspot:Longthorpe,POINT (-0.291401565 52.56443405)
findspot:Longthorpe__fortress,POINT (-0.291401565 52.56443405)
findspot:Lubie,POINT (3.633333 46.25)
findspot:Luxeuil-les-Bains,POINT (6.383333 47.816667)
findspot:Martres-de-Veyre,POINT (3.2 45.683333)
findspot:Melandra,POINT (-1.986288428 53.4519577)
findspot:Mittelbronn,POINT (7.216667 48.766667)
findspot:Montans,POINT (1.9 43.866667)
findspot:Mougon,POINT (0.466667 47.27)
findspot:Munningen,POINT (10.60000038 48.91666794)
findspot:Narbonne,POINT (3.0 43.183333)
findspot:Nether_Denton,POINT (-2.640561104 54.97245789)
findspot:Newcastle,POINT (-1.61944437 54.98805618)
findspot:Newstead,POINT (-1.216666698 53.06666565)
findspot:Nijmegen,POINT (5.866666794 51.83332825)
findspot:Nijmegen__Kops_Plateau,POINT (5.866666794 51.83332825)
findspot:Nijmegen__VN,POINT (5.866666794 51.83332825)
findspot:Nijmegen__VN_cemetery,POINT (5.866666794 51.83332825)
findspot:Nijmegen__VN_cemetery_Hees_2,POINT (5.866666794 51.83332825)
findspot:Nijmegen__canabae,POINT (5.866666794 51.83332825)
findspot:Nijmegen__cemetery,POINT (5.866666794 51.83332825)
findspot:Nijmegen__fortress,POINT (5.866666794 51.83332825)
findspot:Northwich,POINT (-2.5 53.26667023)
findspot:Nouatre,POINT (0.55 47.05)
findspot:Nuertingen,POINT (9.35 48.633333)
findspot:Oberflorstadt,POINT (8.866666794 50.33333206)
findspot:Oehringen,POINT (9.503899574 49.2016983)
findspot:Oehringen__Rendelkastell,POINT (9.503899574 49.2016983)
findspot:Oehringen__Westkastell,POINT (9.503899574 49.2016983)
findspot:Offemont,POINT (6.883333 47.666667)
findspot:Okarben,POINT (8.75 50.25)
findspot:Old_Penrith,POINT (-2.792124271 54.73427963)
findspot:Osijek,POINT (18.69388962 45.55110931)
findspot:Pen_Llystyn,POINT (-4.2697 52.9837)
findspot:Penydarren,POINT (-3.3705 51.7581)
findspot:Pfaffenhofen,POINT (12.133333 47.9)
findspot:Pfoerring,POINT (11.682227 48.818523)
findspot:Pfuenz,POINT (11.263661 48.883931)
findspot:Pulborough,POINT (-0.516667 50.95)
findspot:Regensburg,POINT (12.09556007 49.01499939)
findspot:Regensburg__Grosspruefening,POINT (12.09556007 49.01499939)
findspot:Regensburg__Kumpfmuehl,POINT (12.09556007 49.01499939)
findspot:Rheingoenheim,POINT (8.421111107 49.44443893)
findspot:Rheinzabern,POINT (8.278056 49.118056)
findspot:Ribchester,POINT (-2.533333063 53.79999924)
findspot:Richborough,POINT (1.333333015 51.28332901)
findspot:Riemst,POINT (5.599999905 50.79999924)
findspot:Riemst__Tumulus,POINT (5.599999905 50.79999924)
findspot:Risstissen,POINT (9.833333015 48.26667023)
findspot:Rottenburg,POINT (8.933333397 48.46666718)
findspot:Rottweil,POINT (8.616666794 48.16667175)
findspot:Rueckingen,POINT (8.981344 50.154728)
findspot:Saalburg,POINT (8.566659 50.271522)
findspot:Saint-Sauveur,POINT (1.916667 43.9)
findspot:Schwabegg,POINT (10.683333 48.183333)
findspot:Silchester,POINT (-1.066666961 51.34999847)
findspot:Sinzig,POINT (7.25 50.55)
findspot:South_Shields,POINT (-1.421388865 54.98777771)
findspot:Stanwix,POINT (-2.93333292 54.90000153)
findspot:Stockstadt,POINT (9.064167023 49.97694397)
findspot:Strageath,POINT (-3.782971621 56.34159851)
findspot:Straubing,POINT (12.56667042 48.81666946)
findspot:Toulon-sur-Allier,POINT (3.366667 46.516667)
findspot:Trier,POINT (6.633333 49.75)
findspot:Unterboebingen,POINT (9.916667 48.816667)
findspot:Utrecht,POINT (5.133333206 52.08332825)
findspot:Valery,POINT (1.966667 43.783333)
findspot:Valkenburg,POINT (4.43333292 52.18333054)
findspot:Velsen,POINT (4.633333206 52.46667099)
findspot:Vichy_Terre_Franche,POINT (3.4 46.116667)
findspot:Waiblingen,POINT (9.3 48.833333)
findspot:Walheim,POINT (9.151110649 49.01416779)
findspot:Walltown,POINT (-2.516099215 54.98814392)
findspot:Watercrook,POINT (-2.748589516 54.30942535)
findspot:Westerndorf,POINT (12.116667 47.883333)
findspot:Wiesbaden,POINT (8.25 50.08332825)
findspot:Wiesbaden__Moorschicht,POINT (8.25 50.08332825)
findspot:Wilderspool,POINT (-2.586209297 53.3691597)
findspot:Woerden,POINT (4.916666985 52.08332825)
findspot:Zurzach,POINT (8.180000305 47.34999847)
findspot:Zurzach__fort,POINT (8.180000305 47.34999847)
